,true_answer,model_answer,question
201802,"France (\""La Marseillaise\"")",What is the national anthem of France?,"'This country's national anthem was written on the night of April 24, 1792'"
96037,a lawn mower,What is a lawnmower?,'The EPA tells yard owners that using a push instead of a power type of this can save 80 pounds of emissions a year'
128532,Les Miserables,"What is ""Les Misérables"" by Victor Hugo?","'Book Four of this French novel is called ""Javert Off the Track""'"
114388,England & France,What are England and France?,"'""King John"" & ""King Henry V"" are both set in these 2 countries'"
215733,peas,What is the sugar snap pea?,"'To retain its crispness, the sugar snap type of this should be eaten raw'"
193385,"""A Passage to India""",What is A Passage to India?,"'This E.M. Forster novel is divided into 3 sections:  ""Mosque"", ""Caves"" & ""Temple""'"
54779,Tariffs & barriers,What are tariffs and barriers?,"'George W. Bush once referred to these 2 trade obstacles as ""terriers & bariffs""'"
199687,a Portuguese man-of-war,What is a Portuguese man o' war?,"'The uppermost polyp of this poisonous sea creature was thought to resemble a sail, hence its name'"
56838,"""Yankee Doodle""","What is the title of the patriotic song with the lyrics ""Mind the music and the step and with the girls be handy""?

The correct question would be:

What is ""The Yankee Doodle Boy""?","'""Mind the music and the step and with the girls be handy""'"
150363,the telegraph,What is the Transcontinental Telegraph?,"'When East & West were linked by this in October, 1861, the days of the Pony Express were numbered'"
199211,Elaine (Nardo),Who is Elaine Nardo played by Marilu Henner?,"'On ""Taxi"" this character was a cab driver & part-time art gallery receptionist'"
151427,Shays\' Rebellion,What is Shays’ Rebellion?,"'In 1787 this uprising reached its climax when 1,100 farmers attacked an arsenal in Springfield, Mass.'"
106402,Things that are squeezed,What are things that can be squeezed?,"'An accordion,<br />a tube of toothpaste,<br />someone's hand'"
171192,Qadhafi,Who is Muammar Gaddafi?,'Libya<br />since 1969'
101239,the car seat (or the child safety seat),What is a car seat?,"'In announcing a program aimed at parents, Sec. LaHood said that one of these ""cannot do its job if it's not used""'"
130200,BYU (Brigham Young),What is Brigham Young University?,'Steve Young was a quarterback at this school named for his great-great-great-grandfather'
11895,(Ernest) Hemingway,Who is Ernest Hemingway?,"'In his 1932 book ""Death in the Afternoon"", he treated bullfighting as a tragic ritual rather than sport'"
105050,the Cardinals,What are the St. Louis Cardinals?,"'In 1960, after 40 years in Chicago, this team moved to St. Louis'"
103872,"""David Copperfield""",What is David Copperfield?,"'In this novel Charles Dickens wrote that Mr. Micawber was ""a thoroughly good-natured man""'"
156282,Montpelier (Vermont),What is Montpelier?,"'Named for a city in France, it's located in the Green Mountains on the upper Winooski River'"
141380,Dinero,What is Laredo?,"'You can cash in if you know there's a town in Texas with this name, the Spanish word for money'"
198274,the IRS,What is the Internal Revenue Service (IRS)?,"'You are always on our minds... says this agency in the Treasury Dept., established in 1862 to help pay Civil War costs'"
38357,iron & sulphur,What are iron and sulfur?,"'(Alright, someone from CalTech now):<br />""Hi, I'm Rudy Marcus, Nobel Prize winner in chemistry.<br />Ferrous sulfide is produced when these 2 elements are heated together""'"
56826,3,What is three ducks?,"'Minimum number of ducks required to have a line in which 1 duck is behind 2, 1 in front of 2 & 1 in the middle'"
109574,(his mother\'s) milk,"What is ""its mother's milk""?","'Observant Jews don't eat cheeseburgers because Exodus says, ""Thou shalt not seethe a kid in"" this'"
24296,1906,"What was the year of the San Francisco earthquake and fire disaster that claimed the lives of up to 3,000 people?","'As many as 3,000 may have perished as a result of the earthquake & fire that ravaged San Francisco in April of this year'"
193980,sublimate,What is sublimation?,"'From the Latin for ""uplifted"", it's to divert energy associated with an unacceptable activity into more acceptable areas'"
200220,George (Herman Ruth),What is George?,"'""Babe"" Ruth'"
185485,the 13th Amendment,What is the thirteenth amendment?,'The decree became law with the passage of this actually quite lucky amendment to the Constitution'
115203,a llama drama,"What is a ""llama drama""?",'A stage play about a woolly South American beast of burden'
200104,"September 1, 1939",What is 1939?,"'(<a href=""http://www.j-archive.com/media/2005-05-23_DJ_26.jpg"" target=""_blank"">Jimmy of the Clue Crew stands before a portrait of George Marshall in the Pentagon in Arlington, Virginia.</a>)  George Marshall became <a href=""http://www.j-archive.com/media/2005-05-23_DJ_26a.jpg"" target=""_blank"">Chief of Staff</a> of a 200,000 man army on this date, when WWII began; by war's end, the number was 8 million'"
189804,Maine,What is the state in which Lobster Lake is located?,'Lobster Lake'
187489,the USSR (Soviet Union),What is the Soviet Union?,'The period known as Detente deals primarily with a 2-decade long era between the U.S. & this country'
58078,the inert gases,What are inert gases?,"'Because they are never found in chemical compounds, the noble gases neon, argon & helium are called this'"
215858,Mt. Fuji,What is Mount Fuji?,"'A Japanese proverb says, ""he who climes"" this peak ""once is a wise man, he who climbs it twice is a fool""'"
205052,Korean Airlines,What is Korean Air?,"'Not surprisingly, in 1988 it was the official carrier of the Seoul Olympic games'"
25766,the line-item veto,What is the line item veto?,'In 1996 Clinton signed a bill giving him this power to strike particular morsels of pork from spending bills'
207942,"Idaho, ID",What is ID for Idaho?,"'The abbreviation for this state is one of the 3 basic parts of the human psyche, according to Freud'"
124205,Scarlett O\'Hara,"Who is Scarlett O'Hara from ""Gone with the Wind"" by Margaret Mitchell?",'This 16-year-old is miffed when Ashley Wilkes decides to marry Melanie instead of her'
155605,one,What is Turn 1?,"'In NASCAR, it's the number of the turn at the end of the front straightaway'"
44066,the tulip,What is a tulip?,"'The name of this flower goes back to the Turkish for ""turban"", from the shape of the opened flower'"
6705,an anteater,"What is ""anteater""?",'Spell check keeps trying to change Antietam into this long-snouted insectivore that comes in giant & 3 other species'
85865,Amazon rainforest,What is deforestation?,"'On May 31, 1999 in Rio, Greenpeace launched a new global campaign to halt its destruction'"
127780,a democracy,What is 'Democracy'?,"'Jon Stewart:<br />""Before we bring"" this type of govt. ""to... Afghanistan, it might be prudent to bring it to Florida""'"
208565,Mathew Brady,Who is Matthew Brady?,'The photographer whose picture was the basis for the image on the five-dollar bill'
78114,cauterizing,What is cauterization?,"'(<a href=""http://www.j-archive.com/media/2007-07-10_J_11.jpg"" target=""_blank"">Cheryl of the Clue Crew reports from a lab at the University of Mississippi.</a>)  Sound waves are used to heat and seal blood vessels in a 21st century version of <a href=""http://www.j-archive.com/media/2007-07-10_J_11a.jpg"" target=""_blank"">this</a> process from the Latin for ""branding iron""'"
195950,Buffalo Bill Cody,Who is Buffalo Bill?,'See the grave & museum of this Old West showman & frontier scout'
119204,multiply it,What is calculate the product of all positive integers up to a specified number? (Factorial symbol means to calculate the product of all positive integers up to a specified number.),"'(<a href=""http://www.j-archive.com/media/2010-11-18_DJ_14.jpg"" target=""_blank"">Sarah of the Clue Crew explains an equation on the monitor.</a>)  In math, an exclamation mark is called a factorial symbol; it means to do this with every positive integer of equal or lesser value--in this case, equal to 120'"
51040,Chicago Cubs (in tribute),What is the Chicago Cubs?,"'During the 1998 season, members of this baseball team wore the patch seen here (drawing of Harry Caray) on their sleeves'"
17953,Abraham Lincoln,"What is the movie ""Abe Lincoln in Illinois""?","'Henry Fonda in 1939,<br />Raymond Massey in 1940'"
87492,"the ""1812 Overture""",What is the 1812 Overture?,'You need money; write this piece for the opening of a cathedral on the 70th anniversary of Russia's defeat of Napoleon'
203254,Tom Cruise & Katie Holmes,Who are Tom Cruise and Katie Holmes?,"'In 2005 the press dubbed this couple ""Tomkat""'"
21609,Bottom of the feet,What is the foot?,'Common warts can be found on a variety of places; plantar warts are only found here'
11359,Elysian Fields,What is Elysium?,'Xena's son & Hercules' family are dead & residing in this wonderful afterlife area'
169649,Tennessee Wiliams,Who is Tennessee Williams?,"'His play ""The Rose Tattoo"" tells the story of a Louisiana widow withdrawing from the world'"
127009,monosodium glutamate (or MSG),What is monosodium glutamate (MSG)?,'This amino acid is the sodium salt of glutamic acid'
206131,cable cars,What is the cable car system?,"'An engineer saw a streetcar slide down Nob Hill, killing 5 horses, & came up with this better system'"
120843,(San Juan) Capistrano,What is San Juan Capistrano?,"'Traditionally, the swallows begin leaving here on October 23rd'"
70133,the jaguar,What is Jaguar?,"'The Spanish word for ""water"" is found within this sleek feline's name'"
201304,Ricky Nelson,Who is Rick Nelson?,"'He turned the experience of being booed at Madison Square Garden into the hit ""Garden Party""'"
23392,(Gilbert) Stuart,Who is Gilbert Stuart?,'The portrait of Washington on the state seal is from a portrait by this artist'
9838,the Macbeth,Who is Macbeth?,"'Macduff tells us, ""Not in the legions of horrid hell can come a devil more damn'd in evils to top"" this man'"
49161,jaundiced,What is jaundice?,"'About half of full-term newborns are yellow because they're this (overpigmented, not world-weary)'"
192674,pool (or billiards or snooker),What is billiards?,'John Hyatt developed celluloid as a substitute for ivory in the balls used in this game'
145458,the ruble,What is the Russian Ruble?,'In 1704 Peter the Great introduced the first regular minting of this currency in silver'
193064,plantains,What is a plantain?,"'Many low-growing herbs are common weeds called these, a term also used for a kind of tropical banana'"
201634,Pierre & Marie Curie,Who are Marie and Pierre Curie?,"'This pair found radium wanted to be alone, so they isolated it'"
141953,Canada (Prince Edward Island),What is Canada?,'In 1803 the Earl of Selkirk established a colony of highlanders in what's now this country'
190749,Robin\'s Egg Blue,"What is ""Robin's Egg Blue""?",'The most prized turquoise is this bird-related shade'
194510,Peter Sellers,"What is the name of the actor who portrayed Chance the gardener in the London production of ""Being There"" in 1980?","'Chance the gardener, he stopped ""Being There"" in London in 1980'"
188918,the measles,What is measles?,'Rubeola is the medical name for this disease'
46937,Gummi Bears,What are gummy bears?,"'Dentists dislike these ""ursine"" candies born in Bonn, Germany because they're high in sugar & stick to your teeth'"
24075,Romanovs,What is the Romanov family?,"'In July 1998, 80 years after their execution, several members of this royal family were reinterred in St. Petersburg'"
95521,"\""Penny Lane\""","What is ""Penny Lane""?",'It's the Beatles' only U.S. No. 1 hit single whose title is the name of an actual place'
173440,Minutes & seconds,What are minutes and seconds?,'Degrees of latitude are further broken down into these divisions'
8551,a let ball,What is a let?,"'Tennis serve that touches net before dropping into proper court, it's replayed'"
134325,a radical,What is radical?,'Dude! This totally means favoring extreme political reforms...whoa! It's also a math term? Righteous!'
18419,Gilbert & Sullivan,Who are W.S. Gilbert and Arthur Sullivan?,"'Together they wrote ""The Pirates of Penzance"" in 1879'"
156907,(Cyrus) McCormick,Who is Cyrus McCormick?,'His father Robert attempted to build a mechanical reaper but failed; he succeeded & became quite wealthy'
121864,Kapital,"Who is Karl Marx's mother criticizing for not making a lot of money instead of writing about ""Das Capital""?","'His mom said, ""If Karl, instead of writing a lot about"" Das This, ""made a lot of"" this, ""it would have been much better""'"
